beta	mean_peak_share	mean_final_infected_share	mean_death_share
0.1	0.5006666666666666	0.0	0.01911111111111111
0.2	0.9195555555555556	0.0	0.018222222222222223
0.3	0.9913333333333334	0.0	0.02311111111111111
0.4	0.9979999999999999	0.0	0.01955555555555556
0.5	0.9997777777777778	0.018666666666666668	0.022222222222222223
0.6	1.0	0.13799999999999998	0.033999999999999996
0.7	1.0	0.2631111111111111	0.044000000000000004
0.8	1.0	0.3477777777777778	0.044444444444444446
