time,queue_length,busy_servers
0.0,0,0
0.22670080379321364,1,0
0.22670080379321364,0,1
0.4880329296565582,0,0
1.7193725545596126,1,0
1.7193725545596126,0,1
2.527570106418899,0,0
3.092396007018542,1,0
3.092396007018542,0,1
4.710681474699166,1,1
4.710681474699166,0,2
4.811183017503344,0,1
4.846068233047932,0,0
5.780570240163308,1,0
5.780570240163308,0,1
5.900846921239646,0,0
7.6630602422132545,1,0
7.6630602422132545,0,1
8.757107228954055,0,0
8.775023281993494,1,0
8.775023281993494,0,1
9.561051000909025,1,1
9.561051000909025,0,2
9.682862062147718,1,2
9.954533126105757,2,2
10.307699055510726,3,2
10.977673636606639,3,1
10.977673636606639,2,2
11.991790259642677,3,2
12.385987168243163,4,2
12.517270566536979,4,1
12.517270566536979,3,2
13.991463025099657,3,1
13.991463025099657,2,2
14.298766541127769,2,1
14.298766541127769,1,2
15.130598948142065,2,2
16.047264030857814,2,1
16.047264030857814,1,2
16.212833817616804,2,2
17.42849055067535,2,1
17.42849055067535,1,2
18.365627889831966,2,2
18.385147328201068,3,2
18.855501234600073,4,2
19.605306216215066,4,1
19.605306216215066,3,2
20.274649188283348,4,2
23.33877982472267,4,1
23.33877982472267,3,2
23.345330228404805,4,2
23.3749608892323,5,2
23.516966909178947,5,1
23.516966909178947,4,2
23.9678144348217,5,2
25.01907853620562,6,2
27.700874554761132,7,2
28.653256821243737,8,2
28.806953174758892,9,2
28.913256622339144,9,1
28.913256622339144,8,2
29.261433848164593,9,2
30.501826943390686,9,1
30.501826943390686,8,2
31.106416541707745,8,1
31.106416541707745,7,2
31.432343862867125,7,1
31.432343862867125,6,2
31.56225192202502,7,2
31.69845935820437,8,2
32.18640578596574,9,2
32.394848162117505,9,1
32.394848162117505,8,2
33.520319878093105,9,2
34.027754075104994,9,1
34.027754075104994,8,2
34.12259331523087,8,1
34.12259331523087,7,2
34.597215282813885,8,2
34.632726656557914,9,2
35.44892495920228,10,2
35.73144189835886,10,1
35.73144189835886,9,2
37.616425635354716,9,1
37.616425635354716,8,2
38.06977071986143,9,2
38.474958041202626,9,1
38.474958041202626,8,2
38.724459656770186,9,2
38.76777257602676,9,1
38.76777257602676,8,2
39.351615627219594,9,2
39.523109664060286,9,1
39.523109664060286,8,2
41.326607117837526,8,1
41.326607117837526,7,2
41.880562506651714,7,1
41.880562506651714,6,2
42.19745032179043,7,2
42.98479977901587,7,1
42.98479977901587,6,2
44.01942282957281,6,1
44.01942282957281,5,2
44.11425507408296,5,1
44.11425507408296,4,2
44.335445256057184,5,2
44.67218148470423,6,2
44.70712480667473,7,2
45.0027661743932,7,1
45.0027661743932,6,2
45.26180713474227,6,1
45.26180713474227,5,2
45.54160294025154,6,2
46.0821232979036,7,2
46.481235688999526,8,2
46.71588374409288,8,1
46.71588374409288,7,2
48.07152989439709,8,2
48.14314257952758,8,1
48.14314257952758,7,2
48.480182037968916,8,2
49.11699861634671,8,1
49.11699861634671,7,2
50.029804609828986,7,1
50.029804609828986,6,2
50.82061360503511,7,2
50.83551311551812,8,2
51.39289434356071,9,2
51.813811091213054,9,1
51.813811091213054,8,2
53.02912001000761,8,1
53.02912001000761,7,2
53.76258097252405,8,2
53.78198974055325,9,2
55.07741775635404,10,2
55.916535188180795,10,1
55.916535188180795,9,2
56.50048796261623,9,1
56.50048796261623,8,2
56.64503503109636,8,1
56.64503503109636,7,2
57.18064437256628,8,2
59.011143775867005,8,1
59.011143775867005,7,2
59.25823110637397,8,2
59.66463110739318,8,1
59.66463110739318,7,2
60.294333072624525,8,2
61.5963420981535,9,2
62.134103814875566,10,2
62.28979673735611,11,2
62.6298792717161,11,1
62.6298792717161,10,2
63.193532037756384,10,1
63.193532037756384,9,2
63.286976547612475,10,2
63.42428522279491,11,2
63.94406225907061,12,2
64.21324350961171,12,1
64.21324350961171,11,2
64.65460139738913,12,2
65.20043750937535,13,2
66.00225023532825,14,2
66.06521171416816,14,1
66.06521171416816,13,2
66.90303820147984,14,2
68.94516465691564,15,2
69.38004862553402,15,1
69.38004862553402,14,2
69.65333652159089,15,2
71.34852507551766,16,2
72.35565079179027,16,1
72.35565079179027,15,2
72.80131906062373,16,2
72.90463063342214,16,1
72.90463063342214,15,2
74.22925530824237,16,2
74.45654240597098,17,2
74.76849520495004,18,2
75.43632303724122,18,1
75.43632303724122,17,2
75.82607266559855,18,2
76.18740942038735,19,2
77.05787052151615,20,2
77.08388968728003,20,1
77.08388968728003,19,2
77.26607015756038,19,1
