time,S,I,R
16.348529137324494,828,112,60
16.43478666879563,827,113,60
16.4523125445266,826,114,60
16.495517572705527,825,115,60
16.49664813626619,824,116,60
16.573285423648084,824,115,61
16.57951450240492,823,116,61
16.590141128156933,822,117,61
16.631792456175877,822,116,62
16.643552489024042,821,117,62
16.714525748336012,820,118,62
16.740747446065985,819,119,62
16.742581826246898,818,120,62
16.791318369130344,817,121,62
16.82302092467521,816,122,62
16.827108461070118,815,123,62
16.86724627476682,814,124,62
16.88880345893175,813,125,62
16.922592715104688,812,126,62
16.96966094656477,811,127,62
16.977615248291922,811,126,63
17.003722030072943,810,127,63
17.06742916307372,810,126,64
17.074901976792273,809,127,64
17.07694148998468,808,128,64
17.081982198397128,807,129,64
17.182447483689696,806,130,64
17.21449738376464,806,129,65
17.216635705376508,805,130,65
17.226439195603174,805,129,66
17.252180180494392,805,128,67
17.262246975649497,804,129,67
17.304620616798896,804,128,68
17.311246970517058,803,129,68
17.31445807558202,803,128,69
17.337273497250994,802,129,69
17.359393291940098,801,130,69
17.369108454340825,800,131,69
17.400100137058768,799,132,69
17.443822957199412,798,133,69
17.45692602403269,798,132,70
17.51228991582161,797,133,70
17.513488316728303,797,132,71
17.519857715260812,797,131,72
17.520786229369673,797,130,73
17.543343517730996,796,131,73
17.54547176965126,795,132,73
17.55019755947451,794,133,73
17.55499170857574,793,134,73
17.556058834819854,792,135,73
17.57472717823509,792,134,74
17.588356041686826,792,133,75
17.611718365979822,792,132,76
17.62136281937966,791,133,76
17.645034909779856,790,134,76
17.698569800822607,789,135,76
17.70104348934642,788,136,76
17.724164505157443,788,135,77
17.733099907085517,788,134,78
17.773737193927843,788,133,79
17.77966842198824,788,132,80
17.786267608562113,788,131,81
17.79743867563605,787,132,81
17.7998254804162,787,131,82
17.80886860254388,786,132,82
17.83944906265407,785,133,82
17.86240433385358,784,134,82
17.87587026500112,783,135,82
17.972225592905517,782,136,82
17.97378428860407,781,137,82
17.975391256284766,780,138,82
18.02784746904374,780,137,83
