time,S,I,R
15.4,764.8691742728919,149.13083421267345,85.99999151443484
15.6,757.9679550055636,153.01080877509432,89.02123621934228
15.8,750.9534031855964,156.9262181534388,92.120378660965
16.0,743.8282520656188,160.87360496264532,95.298142971736
16.2,736.5954646662796,164.84932621534512,98.55520911837544
16.4,729.2578897621471,168.84993356942192,101.8921766684311
16.6,721.8184242155849,172.8721134545166,105.30946232989866
16.8,714.2814555758663,176.91111778852786,108.80742663560594
17.0,706.6515420421827,180.9621189094248,112.38633904839267
17.2,698.9333431178123,185.02028310218688,116.0463737800009
17.4,691.1316196101209,189.08077059880415,119.78760979107513
17.6,683.2512336305608,193.1387355782772,123.61003079116216
17.8,675.2971485946722,197.18932616661695,127.51352523871101
18.0,667.2744292220816,201.2276844368451,131.49788634107344
18.2,659.1882415365035,205.2489464089936,135.56281205450304
18.4,651.0438528657387,209.24824205010512,139.70790508415632
18.6,642.8466318416752,213.22069527423292,143.932672884092
18.8,634.6020484002888,217.16142394244045,148.23652765727084
19.0,626.3156737816419,221.0655398628019,152.61878635555632
19.2,617.9931805298844,224.9281487904018,157.07867067971398
19.4,609.6403424932523,228.74435042733558,161.61530707941222
19.6,601.2630348240697,232.50923842270893,166.22772675322153
19.8,592.8672339787468,236.21790037263827,170.91486564861512
20.0,584.4590177177831,239.86541782024975,175.6755644619673
20.2,576.0445651057637,243.4468662556807,180.50856863855574
20.4,567.6301565113596,246.95731511607937,185.41252837256113
20.6,559.2221736073313,250.3918277856036,190.38599860706518
20.8,550.8270993705253,253.7454615954222,195.42743903405258
21.0,542.4505966815849,257.01394785874106,200.53545545967424
21.2,534.0972926988157,260.1941010888565,205.7086062123279
21.4,525.7732322193372,263.281965516267,210.94480226439597
21.6,517.4842833431884,266.27379542955566,216.24192122725617
21.8,509.2360932574722,269.16608530570113,221.59782143682688
22.0,501.03408823635397,271.9555698100783,227.01034195356786
22.2,492.88347364106227,274.63922379645794,232.47730256247996
22.4,484.7892339198885,277.21426230700666,237.99650377310502
22.6,476.756132608187,279.6781405722871,243.56572681952608
22.8,468.78871232837577,282.0285540112576,249.18273366036684
23.0,460.8912947899349,284.2634382312727,254.84526697879258
23.2,453.067980789408,286.3809690280827,260.5510501825094
23.4,445.3226502104017,288.3795623858339,266.2977874037645
23.6,437.6589620235851,290.25787447706847,272.08316349934654
23.8,430.0803542866914,292.01480166272455,277.9048440505842
24.0,422.59004414451545,293.64948049213615,283.7604753633485
24.2,415.1910278289164,295.1612877030332,289.64768446805056
24.4,407.88608065881556,296.5498402215416,295.564079119643
24.6,400.67775704019624,297.8149951621833,301.5072477976206
24.8,393.56839046610804,298.9568498278758,307.47475970601624
25.0,386.5600935166599,299.975741709933,313.4641647734073
25.2,379.65475785902606,300.8722484880643,319.4729936529098
25.4,372.85405424744334,301.6471880303752,325.4987577221816
25.6,366.15943252321,302.3016183933673,331.5389490834229
25.8,359.57212161468976,302.8368378219377,337.59104056337264
26.0,353.09312953730847,303.2543847493799,343.6524857133118
26.2,346.7235200137972,303.5556563093023,349.7208236769006
26.4,340.46482199762403,303.74116882127515,355.79400918110093
26.6,334.3171676833093,303.81306564083974,361.86976667585105
26.8,328.28047186710376,303.77369690260764,367.9458312302887
27.0,322.3545704749441,303.6254392974942,374.0199902275617
27.2,316.5392205624538,303.3706960727189,380.09008336482736
27.4,310.83410031494276,303.01189703180484,386.15400265325246
27.6,305.2388090474073,302.5514985345791,392.20969241801373
27.8,299.7528672045305,301.99198349717267,398.25514929829694
28.0,294.37571636068185,301.33586139202026,404.288422247298
28.2,289.1067192199171,300.58566824786067,410.3076125322223
28.4,283.94515961597887,299.74396664973636,416.3108737342849
28.6,278.89024251229597,298.81334573899386,422.2964117487102
28.8,273.9410940019843,297.79642121328357,428.2624847847323
29.0,269.09676130784527,296.69583532655935,434.2074033655955
29.2,264.3562127823678,295.51425688907955,440.1295303285528
29.4,259.7183379077266,294.2543812674059,446.0272808248676
29.6,255.18194729578326,292.91893038440423,451.89912231981265
29.8,250.7457726880864,291.51065271924455,457.74357459266923
30.0,246.40846695586941,290.0323233073998,463.5592097367309
30.2,242.16860410005415,288.4867437406478,469.3446521592982
30.4,238.02467925124807,286.8767421670698,475.0985785816822
30.6,233.97510866974525,285.20517329105104,480.8197180392038
30.8,230.0182297455259,283.4749183732803,486.5068518811939
31.0,226.15230099825712,281.6888852307505,492.1588137709925
31.2,222.37550207729385,279.8500082367591,497.7744896859472
