t,S,I,R
13.247502191114627,711,124,165
13.28172390324239,710,125,165
13.295310689128247,709,126,165
13.322011258679385,708,127,165
13.32484560670184,707,128,165
13.351698606862666,707,127,166
13.355229704382097,706,128,166
13.36298883981645,705,129,166
13.390414194149495,705,128,167
13.398563952144219,704,129,167
13.402776782241716,703,130,167
13.418227504523104,702,131,167
13.418931231431635,702,130,168
13.43275378114428,702,129,169
13.434148503867766,701,130,169
13.443663105073492,700,131,169
13.462863990656064,699,132,169
13.476862199582753,698,133,169
13.48755419098533,698,132,170
13.497969836058221,698,131,171
13.510746661565332,698,130,172
13.520513369143076,698,129,173
13.52066374103746,698,128,174
13.555499188991112,698,127,175
13.556177472706114,697,128,175
13.562177826832496,697,127,176
13.562354736048448,697,126,177
13.56469260147974,696,127,177
13.577778309182959,695,128,177
13.592494890295924,695,127,178
13.62058606944195,694,128,178
13.634324403226428,693,129,178
13.662304449579183,692,130,178
13.668855222981254,692,129,179
13.686341286910533,692,128,180
13.692314896278429,691,129,180
13.693836589959705,690,130,180
13.715491925841915,690,129,181
13.720394275026127,689,130,181
13.734605322840554,689,129,182
13.736062948435055,688,130,182
13.738536406613587,688,129,183
13.792754722247533,687,130,183
13.797970834772856,686,131,183
13.808610535235593,686,130,184
13.815145436677636,685,131,184
13.831231007870128,684,132,184
13.831649620747758,683,133,184
13.84897211767055,683,132,185
13.87072094910808,683,131,186
13.873208222193753,682,132,186
13.878692941871906,681,133,186
13.908486048414272,681,132,187
13.911847013962023,680,133,187
13.92151037337432,680,132,188
13.924836228423592,679,133,188
13.92556819866396,679,132,189
13.93406665903253,679,131,190
13.94870230769329,679,130,191
13.967801886821686,679,129,192
13.968459682320631,679,128,193
14.008067047519031,678,129,193
14.037604314924751,678,128,194
14.043969389021807,678,127,195
14.049929145695259,678,126,196
14.072505652804107,677,127,196
14.10893057304387,676,128,196
14.119167844718207,675,129,196
14.141289237769723,675,128,197
14.145014007158998,675,127,198
14.145830163468647,674,128,198
14.15009399770634,674,127,199
14.173173630701948,673,128,199
14.186931254841696,672,129,199
14.212496341271514,671,130,199
14.215822615750998,671,129,200
14.224444607266829,671,128,201
