network	deadlock	deadlock_time	final_time	mean_eaters	max_eaters	hungry_final
classic	true	46.32753334553215	46.32753334553215	0.6754385964912281	2.0	5.0
arbiter	false		79.63153964137032	0.6032608695652174	2.0	3.0
