t,S,I,R
7.7,889.1675889744332,57.12280534997104,53.709605675596514
7.75,887.8925200663041,57.68035822109068,54.427121712606
7.8,886.6068815874204,58.24148887390378,55.151629538676616
7.85,885.3106457699645,58.80618045823607,55.88317377180025
7.9,884.0037860623472,59.37441512454458,56.62179881310895
7.95,882.6862771545244,59.946174011173426,57.3675488343029
8.0,881.358095003277,60.521437231803326,58.12046776492045
8.05,880.019216857441,61.10018386310727,58.8805992794524
8.1,878.6696212830725,61.68239193262488,59.64798678430334
8.15,877.3092881885292,62.26803840686847,60.42267340460306
8.2,875.9381988494571,62.8570991796732,61.204701970870396
8.25,874.5563359336621,63.449549060805026,61.99411500553353
8.3,873.1636835258527,64.04536176483893,62.79095470930915
8.35,871.760227152235,64.64450990032118,63.59526294744456
8.4,870.3459538049455,65.24696495922893,64.40708123582627
8.45,868.920851966302,65.85269730674027,65.22645072695836
8.5,867.4849116328563,66.46167617132882,66.05341219581551
8.55,866.0381243392308,67.07386963519609,66.8880060255738
8.6,864.5804831817208,67.68924462505542,67.73027219322447
8.65,863.1119828416446,68.30776690328143,68.58025025507463
8.7,861.6326196084229,68.9294010594382,69.43797933213955
8.75,860.1423914023682,69.55411050220069,70.3034980954318
8.8,858.6412977971667,70.18185745168242,71.17684475115158
8.85,857.1293400420328,70.81260293218386,72.05805702578395
8.9,855.6065210835175,71.4463067653749,72.94717215110833
8.95,854.0728455869508,72.08292756392487,73.84422684912498
9.0,852.5283199575008,72.72242272559451,74.74925731690539
9.05,850.9729523608269,73.36474842780257,75.66229921137123
9.1,849.4067527433108,74.00985962268108,76.58338763400879
9.15,847.8297328518435,74.65771003263262,77.51255711552461
9.2,846.2419062531496,75.30825214640242,78.44984160044864
9.25,844.6432883526298,75.96143721567893,79.39527443169187
9.3,843.0338964127008,76.61721525223527,80.3488883350646
9.35,841.4137495706135,77.27553502562472,81.31071540376244
9.4,839.7828688557306,77.93634406144267,82.28078708282736
9.45,838.1412772062436,78.59958864016701,83.25913415359001
9.5,836.4889994853088,79.26521379658983,84.24578671810193
9.55,834.8260624965856,79.9331633198513,85.24077418356373
9.6,833.1524949991544,80.60337975408815,86.24412524675806
9.65,831.4683277217987,81.27580439970754,87.25586787849439
9.7,829.7735933766301,81.95037731529719,88.27602930807342
9.75,828.0683266720378,82.62703732018294,89.30463600777998
9.8,826.3525643249461,83.30572199764323,90.34171367741135
9.85,824.6263450723592,83.98636769879107,91.3872872288504
9.9,822.8897096821768,84.66890954713261,92.44138077069132
9.95,821.1427009632629,85.3532814438114,93.50401759292644
10.0,819.3853637747501,86.03941607354729,94.5752201517033
10.05,817.6177450345631,86.72724491127767,95.65501005415992
10.1,815.8398937271436,87.41669822950927,96.7434080433478
10.15,814.0518609103617,88.10770510638754,97.84043398325136
10.2,812.2536997215982,88.80019343449013,98.94610684391233
10.25,810.4454653829803,89.49408993035115,100.06044468666926
10.3,808.6272152057593,90.18932014472134,101.18346464952002
10.35,806.7990085938134,90.88580847356963,102.31518293261765
10.4,804.9609070462617,91.58347816983058,103.45561478390832
10.45,803.112974159179,92.28225135590124,104.60477448492044
10.5,801.2552756263941,92.98204903689123,105.76267533671532
10.55,799.3878792393648,93.68279111462836,106.92932964600752
10.6,797.5108548861132,94.38439640242204,108.10474871146543
10.65,795.6242745492136,95.08678264058584,109.28894281020115
10.7,793.7282123028224,95.78986651271956,110.4819211844587
10.75,791.8227443087379,96.49356366275154,111.68369202851119
10.8,789.9079488114859,97.19778871273971,112.89426247577507
10.85,787.983906132418,97.90245528143058,114.11363858615208
10.9,786.0506986628187,98.607476003574,115.34182533360794
10.95,784.1084108560135,99.31276254999044,116.57882659399674
11.0,782.1571292184715,100.0182256483878,117.82464513314142
11.05,780.1969422998992,100.7237751049229,119.07928259517864
11.1,778.2279406823196,101.429319826503,120.34273949117808
11.15,776.2502169681342,102.13476784382138,121.61501518804519
11.2,774.2638657671648,102.84002633511999,122.89610789771595
11.25,772.2689836826743,103.54500165067265,124.18601466665386
11.3,770.2656692963643,104.24959933797967,125.48473136565678
11.35,768.2540231523515,104.95372416766575,126.7922526799835
11.4,766.2341477401212,105.65728016007112,128.10857209980844
11.45,764.206147476463,106.36017061252531,129.43368191101246
11.5,762.1701286863884,107.06229812729276,130.76757318631965
11.55,760.1261995830363,107.76356464017768,132.11023577678677
11.6,758.0744702465702,108.46387144977578,133.46165830365473
11.65,756.0150526020715,109.16311924735938,134.82182815056984
11.7,753.9480603964379,109.8612081473809,136.1907314561819
11.75,751.8736091742918,110.55803771858078,137.56835310712813
11.8,749.791816252909,111.25350701568274,138.95467673140894
11.85,747.7028006961757,111.94751461166105,140.34968469216398
11.9,745.6066832875841,112.63995863056168,141.7533580818549
11.95,743.5035865022796,113.33073678085964,143.16567671686147
12.0,741.3936344781683,114.01974638933409,144.58661913249836
12.05,739.2769529861015,114.70688443544128,146.01616257845802
12.1,737.1536693991482,115.39204758616592,147.45428301468667
12.15,735.0239126609722,116.07513223132993,148.90095510769865
12.2,732.887813253329,116.75603451933722,150.3561522273346
12.25,730.7455031626982,117.43465039333297,151.81984644396965
12.3,728.5971158460711,118.11087562775435,153.29200852617538
12.35,726.4427861959092,118.78460586525007,154.77260793884153
12.4,724.2826505042946,119.45573665394492,156.26161284176135
12.45,722.1168464262915,120.12416348502498,157.75899008868427
12.5,719.9455129425405,120.7897818306192,159.26470522684102
12.55,717.7687903211056,121.45248718195191,160.7787224969433
12.6,715.5868200785978,122.11217508774072,162.30100483366223
12.65,713.3997449405981,122.7687411928141,163.83151386658858
12.7,711.2077088014033,123.4220812769216,165.37020992167584
12.75,709.0108566831192,124.07209129371071,166.91705202317087
12.8,706.8093346941267,124.71866740984257,168.47199789603147
12.85,704.603289986947,125.36170604421956,170.03500396883425
12.9,702.3928707155301,126.00110390729708,171.60602537717355
12.95,700.1782259919983,126.63675804045103,173.1850159675514
13.0,697.9595058428662,127.26856585537382,174.77192830176068
13.05,695.7368611647712,127.89642517346962,176.3667136617599
13.1,693.5104436797388,128.52023426522103,177.96932205504086
13.15,691.2804058900141,129.1398918894985,179.5797022204882
13.2,689.0469010324886,129.75529733278339,181.19780163472885
13.25,686.8100830327515,130.36635044827688,182.8235665189724
13.3,684.5701064587976,130.97295169486506,184.45694184633825
13.35,682.3271264744191,131.5750021759122,186.0978713496696
13.4,680.0812987923165,132.17240367785345,187.74629752983094
13.45,677.8327796269565,132.76505870855823,189.40216166448616
13.5,675.5817256472094,133.35287053543627,191.06540381735527
13.55,673.3282939287981,133.9357432232578,192.73596284794505
13.6,671.0726419065899,134.51358167166015,194.41377642175087
13.65,668.8149273267626,135.08629165231287,196.09878102092543
13.7,666.555308198878,135.65377984571367,197.79091195540914
13.75,664.2939427478935,136.21595387758842,199.49010337451887
13.8,662.0309893661449,136.77272235486782,201.19628827898808
13.85,659.7666065653312,137.3239949012149,202.90939853345475
13.9,657.5009529285343,137.86968219207643,204.6293648793902
13.95,655.2341870623051,138.4096959892334,206.35611694846247
14.0,652.9664675488469,138.94394917482484,208.08958327632917
14.05,650.6979528983293,139.4723557848203,209.82969131685132
14.1,648.428801501361,139.99483104191717,211.57636745672272
14.15,646.1591715816555,140.5112913878388,213.32953703050657
14.2,643.8892211489186,141.0216545150106,215.08912433607165
14.25,641.6191079519882,141.52583939759154,216.85505265042113
14.3,639.3489894322571,142.02376632183942,218.62724424590434
14.35,637.0790226774081,142.5153569157884,220.40562040680436
14.4,634.8093643754898,143.0005341782188,222.1901014462923
14.45,632.5401707693638,143.47922250689882,223.98060672373833
14.5,630.2715976115489,143.95134772607972,225.77705466237234
14.55,628.0038001194931,144.41683711322557,227.57936276728225
14.6,625.7369329312979,144.87561942496052,229.38744764374246
14.65,623.4711500619229,145.32762492221647,231.20122501586147
14.7,621.2066048598972,145.7727853945654,233.02060974553828
14.75,618.9434499645611,146.2110341837211,234.84551585171866
14.8,616.681837263866,146.64230620619588,236.67585652993893
14.85,614.4219178527534,147.06653797509912,238.51154417214826
14.9,612.163841992138,147.48366762106465,240.3524903867981
14.95,609.9077590685185,147.8936349122953,242.19860601918694
15.0,607.6538175542356,148.2963812737141,244.0498011720511
15.05,605.4021649684013,148.69184980521135,245.90598522638825
15.1,603.1529478385178,149.07998529897915,247.76706686250398
15.15,600.9063116628065,149.46073425592505,249.63295408126936
15.2,598.662400873267,149.83404490115686,251.50355422557715
15.25,596.4213587994811,150.19986719853307,253.3787740019867
15.3,594.1833276331841,150.55815286427273,255.25851950254403
15.35,591.9484483936141,150.9088553796203,257.14269622676653
15.4,589.7168608936587,151.25193000256178,259.0312091037804
15.45,587.4887037068141,151.58733377858928,260.9239625145974
15.5,585.264114134967,151.9150255505119,262.8208603145219
15.55,583.043228177016,152.23496596731198,264.7218058556729
15.6,580.8261804983423,152.54711749204654,266.6267020096121
15.65,578.6131044011424,152.8514444087945,268.53545119006395
15.7,576.4041317956329,153.147912828651,270.447955375717
15.75,574.1993931721348,153.43649069477178,272.36411613309434
15.8,571.9990175740504,153.71714778647012,274.2838346394804
15.85,569.8031325717361,153.9898557223708,276.207011705894
15.9,567.6118642372803,154.25458796262598,278.1335478000946
15.95,565.4253371201926,154.51131981019816,280.0633430696102
16.0,563.2436742240077,154.76002841121743,281.99629736477584
16.05,561.0669969838111,155.00069275441942,283.9323102617704
16.1,558.8954252446875,155.23329366967235,285.87128108564104
16.15,556.7290772410958,155.4578138256018,287.8131089333034
16.2,554.5680695771715,155.67423772632242,289.757692696507
16.25,552.4125172079611,155.88255170728692,291.70493108475296
16.3,550.2625334215821,156.08274393026284,293.65472264815594
16.35,548.1182298223154,156.27480437744867,295.6069658002369
16.4,545.9797163146224,156.45872484474137,297.5615588406372
16.45,543.8471010880892,156.63449893416777,299.51839997774397
16.5,541.7204906032933,156.80212204549326,301.4773873512143
16.55,539.5999895785884,156.96159136702164,303.43841905439086
16.6,537.485700977804,157.11290586560006,305.40139315659684
16.65,535.3777259988553,157.25606627584443,307.366207725301
16.7,533.2761640632563,157.39107508860036,309.3327608481442
16.75,531.1811128065305,157.51793653865533,311.30095065481504
16.8,529.0926680695125,157.6366565917188,313.27067533876954
16.85,527.0109238905325,157.74724293068635,315.24183317878203
16.9,524.9359724984748,157.8497049412055,317.2143225603205
16.95,522.8679043067028,157.9440536965601,319.1880419967379
17.0,520.8068079078406,158.03030194189168,321.1628901502686
17.05,518.7527700694004,158.10846407777524,323.1387658528252
17.1,516.7058757302469,158.17855614316832,325.1155681265856
17.15,514.6662079978863,158.2405957977519,327.0931962043626
17.2,512.6338481465685,158.2946023036819,329.0715495497504
17.25,510.6088756161928,158.3405965067707,331.0505278770373
17.3,508.59136801200134,158.37860081711767,333.03003117088184
17.35,506.5814011050504,158.40863918920846,335.009959705742
17.4,504.57904883344514,158.43073710150256,336.9902140650532
17.45,502.5843833043237,158.44492153552903,338.9706951601481
17.5,500.59747479657943,158.4512209545101,340.95130424891136
17.55,498.6183917643034,158.4496652815326,342.9319429541649
17.6,496.64720084093557,158.44028587728744,344.91251328177793
17.65,494.68396684410897,158.42311551739692,346.8929176384951
17.7,492.72875278117084,158.39818836935,348.8730588494801
17.75,490.78161985536804,158.3655399690655,350.8528401755674
17.8,488.8426274726782,158.32520719710342,352.8321653302193
17.85,486.9118332492732,158.27722825454404,354.8109384961837
17.9,484.989293019598,158.22164263855487,356.7890643418481
17.95,483.075060845049,158.1584911176652,358.76644803728675
18.0,481.16918902323687,158.08781570676783,360.74299526999624
18.05,479.2717280978156,158.00965964186764,362.71861226031774
18.1,477.38272686886285,157.9240673545963,364.6932057765418
18.15,475.5022324037954,157.83108444651236,366.66668314969314
18.2,473.63029004880127,157.73075766320588,368.63895228799373
18.25,471.7669434407752,157.62313486822626,370.60992169099944
18.3,469.91223451973747,157.50826501685216,372.5795004634113
18.35,468.06620354172185,157.3861981297217,374.5475983285574
18.4,466.2288890921155,157.25698526634125,376.51412564154424
18.45,464.4003280994332,157.12067849849078,378.47899340207704
18.5,462.5805558495121,156.9773308835433,380.4421132669456
18.55,460.76960600010733,156.8269964377159,382.4033975621778
18.6,458.96751059587416,156.66973010926958,384.3627592948573
18.65,457.17430008372037,156.50558775167423,386.3201121646065
18.7,455.390003328511,156.3346260967559,388.2753705747342
18.75,453.61464762911237,156.15690272784215,390.2284496430466
18.8,451.8482587347562,155.97247605292137,392.17926521232357
18.85,450.09086086171015,155.78140527783162,394.1277338604594
18.9,448.3424767102386,155.5837503794943,396.0737729102683
18.95,446.6031274818374,155.3795720792072,398.01730043895657
19.0,444.8728328967294,155.16893181601193,399.95823528725987
19.05,443.15161121160247,154.9518917201491,401.89649706824963
19.1,441.439479237578,154.72851458661563,403.8320061758076
