time,S,I,R
0.0,990.0,10.0,0.0
0.5,988.4406922241027,11.03387441418395,0.5254333617134737
1.0,986.7232323601742,12.171648978383256,1.1051186614426987
1.5,984.8323904577622,13.423116599152799,1.7444929430850402
2.0,982.7516474376447,14.798851778394326,2.4495007839611023
2.5,980.4631167950077,16.31024498582263,3.2266382191697445
3.0,977.9474873527787,17.969522152415788,4.082990494805631
3.5,975.1839579444083,19.789770510070596,5.026271545521161
4.0,972.1501808961731,21.784939063209023,6.064880040618047
4.5,968.8222538994196,23.96981770343628,7.207928397144165
5.0,965.1746960278955,26.36002222364152,8.465281748463017
5.5,961.1803731680598,28.97201021179874,9.847616620141535
6.0,956.8106752087367,31.82286596607256,11.366458825190763
6.5,952.0355445757473,34.930266832560214,13.034188591692558
7.0,946.823655852802,38.312294587750955,14.864049559447201
7.5,941.1421601141127,41.987573995414685,16.87026589047266
8.0,934.9573312015583,45.97467771205489,19.067991086386918
8.5,928.235082846985,50.29165881519865,21.47325833781634
9.0,920.9409687451284,54.95605073548591,24.102980519385692
9.5,913.0406323155868,59.98449623784867,26.97487144656468
10.0,904.5001930412258,65.39227738246275,30.107529576311602
10.5,895.2860677813762,71.19340614683296,33.52052607179098
11.0,885.3678085429809,77.3984190812859,37.23377237573327
11.5,874.7182501008555,84.01426081200614,41.26748908713849
12.0,863.3135099976879,91.04428404103598,45.642205961276275
12.5,851.1330852063462,98.48819756196748,50.378717231686394
13.0,838.1625957661793,106.34019611831818,55.49720811550269
13.5,824.3930099296153,114.58850599169517,61.01848407868961
14.0,809.8230557337668,123.21463098220254,66.9623132840309
14.5,794.4604365290554,132.19282479980234,73.34673867114239
15.0,778.3218309792137,141.49009106431456,80.1880779564719
15.5,761.4328930612838,151.06618330541704,87.50092363329921
16.0,743.8282520656188,160.87360496264532,95.298142971736
16.5,725.5506258057691,170.85861896342263,103.5907552308084
17.0,706.6515420421827,180.9621189094248,112.38633904839267
17.5,687.2009515901677,191.11037150344106,121.68867690639134
18.0,667.2744292220816,201.2276844368451,131.49788634107344
18.5,646.9515069011854,211.23812895610854,141.8103641427061
19.0,626.3156737816419,221.0655398628019,152.61878635555632
19.5,605.4543762085185,230.63351551359315,163.91210827788842
20.0,584.4590177177831,239.86541782024975,175.6755644619673
20.5,563.4249590363103,248.6843722496357,187.89066871405407
21.0,542.4505966815849,257.01394785874106,200.53545545967424
21.5,521.6240107040056,264.79010951178094,213.5858797842136
22.0,501.03408823635397,271.9555698100783,227.01034195356786
22.5,480.76475187130563,278.460246136036,240.77500199265853
23.0,460.8912947899349,284.2634382312727,254.84526697879258
23.5,441.48038076171446,289.3338281966227,269.18579104166304
24.0,422.59004414451545,293.64948049213615,283.7604753633485
24.5,404.26968988460806,297.19784193707903,298.5324681783131
25.0,386.5600935166599,299.975741709933,313.4641647734073
25.5,369.493401163738,301.98939134839554,328.5172074878666
26.0,353.09312953730847,303.2543847493799,343.6524857133118
26.5,337.3771178544457,303.7911729316086,358.83170921394577
27.0,322.3545704749441,303.6254392974942,374.0199902275617
27.5,308.0227541823624,302.79424315538614,389.18300266225157
28.0,294.37571636068185,301.33586139202026,404.288422247298
28.5,281.4044235222628,299.28960824975263,419.30596822798464
29.0,269.09676130784527,296.69583532655935,434.2074033655955
29.5,257.43753448654803,293.5959315760363,448.96653393741576
30.0,246.40846695586941,290.0323233073998,463.5592097367309
30.5,235.98820174168702,286.0484741854859,477.9633240728272
31.0,226.15230099825712,281.6888852307505,492.1588137709925
31.5,216.87324600821643,276.9990948192703,506.1276591725134
32.0,208.12503340936436,272.02343262474926,519.8515339658865
32.5,199.88420704659606,266.8000023333144,533.3157906200897
33.0,192.12330580920855,261.3648202755633,546.5118739152283
33.5,184.8159003795028,255.75191861286737,559.43218100763
34.0,177.93662826904404,249.99333661673808,572.0700351142181
34.5,171.4611938186617,244.1191206688275,584.4196855125109
35.0,165.36636819844966,238.1573242609281,596.4763075406224
35.5,159.6299894077656,232.1340079949725,608.2360025972621
36.0,154.23096227523186,226.07323958303397,619.6957981417344
36.5,149.14925845873492,219.99709384732623,630.8536476939389
37.0,144.36591644542523,213.92565272020278,641.7084308343722
37.5,139.86304155171786,207.87700524415823,652.259953204124
38.0,135.62380592329177,201.867247571827,662.5089465048814
38.5,131.63244853509022,195.9104829659839,672.457068498926
39.0,127.8742751913211,190.01882179954492,682.1069030091342
39.5,124.33491214520299,184.20293911292296,691.4621487418742
40.0,120.99827105423685,178.47363124815476,700.5280976976085
40.5,117.85161864677154,172.83853622228838,709.3098451309402
41.0,114.8832165049109,167.30423406215334,717.8125494329358
41.5,112.08195076275261,161.87653382113385,726.0415154161136
42.0,109.43733210638811,156.56047357916893,734.002194314443
42.5,106.93949577390256,151.36032044275197,741.7001837833456
43.0,104.57920155537502,146.27957054493146,749.1412278996936
43.5,102.34783379287818,141.32094904531027,756.3312171618117
44.0,100.23740138047866,136.48641013004624,763.2761884894752
44.5,98.24053776423676,131.7771370118517,769.9823252239116
45.0,96.35050094220672,127.19354192999407,776.4559571277994
45.5,94.56117053457022,122.73526930561508,782.7035601598147
46.0,92.8660610982919,118.40233639924163,788.7316025024666
46.5,91.2593193696386,114.1943323989526,794.5463482314088
47.0,89.73610538241607,110.10990895972814,800.1539856578559
47.5,88.29178339308378,106.14760474481274,805.5606118621035
48.0,86.92192188075512,102.30584542571515,810.7722326935299
48.5,85.6222935471973,98.58294368220841,815.7947627705944
49.0,84.38887531683139,94.97709920232982,820.6340254808389
49.5,83.21784833673229,91.4863986823811,825.2957529808867
50.0,82.10559797662873,88.1088158269281,829.7855861964433
50.5,81.0487138289033,84.84221134880089,834.109074822296
51.0,80.04398970859248,81.68433296909414,838.2716773223135
51.5,79.08842365338651,78.63281541716653,842.278760929447
52.0,78.17921792362954,75.68518043064107,846.1356016457295
52.5,77.31377900231955,72.83883675540527,849.8473842422753
53.0,76.48971759510835,70.09108014561056,853.4192022592812
53.5,75.70484863030161,67.43909336367307,856.8560580060254
54.0,74.95719125885881,64.87994618027265,860.1628625608686
54.5,74.24496878008364,62.41059545628127,863.3444357636351
55.0,73.56623695335793,60.02839043695248,866.4053726096896
55.5,72.91911920776889,57.73108260813696,869.3497981840942
56.0,72.30210557340483,55.516204680150125,872.181689746445
56.5,71.71374153099374,53.38132218249772,874.9049362865086
57.0,71.15262801190327,51.32403346387585,877.5233385242209
57.5,70.6174213981407,49.34196969217098,880.0406089096883
58.0,70.10683352235297,47.43279485445991,882.4603716231871
58.5,69.61963166782668,45.59420575700982,884.7861625751635
59.0,69.15463856848807,43.82393202527821,887.0214294062338
59.5,68.71073240890304,42.11973610391296,889.169531487184
60.0,68.28684682427713,40.47941325675224,891.2337399189706
60.5,67.88197090045556,38.900791566824594,893.2172375327199
61.0,67.4951491739232,37.38173193634907,895.1231188897278
61.5,67.12548163180453,35.92012808673482,896.9543902814606
62.0,66.77212371186373,34.51390655858149,898.7139697295548
62.5,66.43428630250465,33.16102671167916,900.4046869858163
63.0,66.11123574277066,31.859480725007906,902.0292835322215
63.5,65.80229382234498,30.607293596738653,903.5904125809164
64.0,65.506802049525,29.402606298806358,905.0905916516687
64.5,65.22411273839836,28.243851578391435,906.5320356832103
65.0,64.95367589559045,27.12947053313712,907.9168535712726
65.5,64.6949613388673,26.05793463412018,909.2471040270126
66.0,64.44745633224562,25.0277489557769,910.5247947119775
66.5,64.21066558599288,24.037452175903123,911.751882238104
67.0,63.98411125662724,23.085616575654203,912.9302721677186
67.5,63.76733294691753,22.17084803954504,914.0618190135375
68.0,63.55988770588334,21.29178605545005,915.1483262386666
68.5,63.36135002879495,20.447103714603212,916.1915462566019
69.0,63.17131185717337,19.63550771159802,917.1931804312287
69.5,62.989382578790284,18.855738344387497,918.1548790768223
70.0,62.81518902766811,18.106569514284207,919.0782414580477
70.5,62.64837548407997,17.38680872596023,919.9648157899599
71.0,62.4886036745497,16.69529708744722,920.8160992380032
71.5,62.33555277185186,16.03090931013634,921.6335379180118
72.0,62.18891939501169,15.39255370877831,922.4185268962101
72.5,62.04841760930513,14.779172201483258,923.1724101892116
73.0,61.91377797478829,14.18974311568424,923.8964789095276
73.5,61.78473963527835,13.623359654984098,924.5919007097376
74.0,61.66107435949687,13.079206095251918,925.2597195452513
74.5,61.54256683043478,12.556483451614902,925.9009497179504
75.0,61.4290079374916,12.054411730475284,926.5165803320332
75.5,61.32019477647547,11.572229929510339,927.1075752940143
76.0,61.21593064960311,11.109196037672366,927.6748733127246
76.5,61.11602506549988,10.664587035188706,928.2193878993114
77.0,61.02029373919974,10.23769889356173,928.7420073672386
77.5,60.92855859214523,9.827846575568843,929.243594832286
78.0,60.840647752187515,9.434364035262481,929.7249882125501
78.5,60.75639555358637,9.05660421797014,930.1870002284436
79.0,60.67564253701017,8.693939060294294,930.6304184026956
79.5,60.59823544953589,8.345759490112512,931.0560050603517
80.0,60.524027244649126,8.011475426577361,931.4644973287735
80.5,60.452877082244065,7.690515780116441,931.8566071376396
81.0,60.38465032862351,7.382328452432427,932.2330212189441
81.5,60.31921855649886,7.086380336502957,932.5944011069982
82.0,60.256459544990136,6.802157316580771,932.9413831384292
82.5,60.196257279370805,6.5291652020748305,933.2745775185543
83.0,60.138504993864046,6.266968619984635,933.5945263861513
83.5,60.08310830599127,6.015180013686545,933.9017116803223
84.0,60.02997660105082,5.773418713768241,934.1966046851809
84.5,59.97902168331777,5.541313319456751,934.4796649972255
85.0,59.93015777604385,5.318501698618451,934.7513405253377
85.5,59.883301521457525,5.104630987759059,935.0120674907835
86.0,59.838371980763945,4.899357592023649,935.2622704272125
