N	S	num_repairers	num_runs	crash_time_sim	crash_time_std	crash_time_theory	utilization	avg_queue_length
8	3	1	30	10.972506892576112	5.6288797279105305	12.908325195312498	0.7251700616733293	0.6886244644368507
10	3	1	30	9.218328008530108	4.610138262936104	9.78125	0.7297554898373371	0.7484047822688698
12	3	1	30	7.676420605278209	3.8735430785650484	7.868079668209876	0.7145590432409534	0.605049997756872
14	3	1	30	7.662572309264097	4.6280399707854585	6.578834339858393	0.7286419793800307	0.7058331300236357
8	3	2	30	11.704888160272622	6.455339153701559	15.67626953125	0.6069300611900534	0.19948892061073897
10	3	2	30	11.149818148546201	10.204252595186311	11.375	0.5728552265852801	0.1877612375360603
12	3	2	30	8.270563495228567	5.353241685812756	8.897087191358027	0.584534733902679	0.18852610788060561
14	3	2	30	6.81702952481512	3.5780755371600375	7.295658059142024	0.5836707189122782	0.1786236289989572
8	3	3	30	20.069554248588727	16.008263168081623	17.098388671874993	0.4602934382765111	0.0
10	3	3	30	11.766220583338797	6.2788284279272215	12.1875	0.47514250926567475	0.0
12	3	3	30	11.446663895458324	8.629900782360439	9.419126157407408	0.49120838084970014	0.0
14	3	3	30	6.689282843344166	4.032569611781825	7.658137234485631	0.49956627714227025	0.0
