time,healthy,busy_repairers,repair_queue
0.0,13,0,0
2.1983542331291,12,1,0
3.1642401283952584,11,2,0
3.695722951978173,12,1,0
5.521877982967222,11,2,0
7.694816186457228,10,2,1
9.314685745739258,9,2,1
