topology	left_rate	seed	deadlock	deadlock_time	mean_eaters	max_eaters
classical	0.5	23	true	52.83989913718554	0.5904761904761905	2.0
classical	0.5	24	true	15.921566052187503	0.46153846153846156	2.0
classical	0.5	25	true	10.626303170030488	0.4166666666666667	1.0
classical	0.5	26	true	43.02780905334809	0.5392156862745098	2.0
classical	0.5	27	true	40.33429175200425	0.6161616161616161	2.0
classical	0.5	28	true	53.92117670256866	0.6074074074074074	2.0
classical	0.5	29	true	8.35037480620099	0.3333333333333333	1.0
classical	0.5	30	true	72.51536781344389	0.5740740740740741	2.0
classical	0.5	31	true	15.064054550935237	0.5384615384615384	2.0
classical	0.5	32	true	16.739312418365483	0.5	1.0
classical	0.5	33	true	1.7792357738054845	0.1111111111111111	1.0
classical	0.5	34	false		0.6602564102564102	2.0
classical	0.5	35	true	16.09601935491882	0.8888888888888888	2.0
classical	0.5	36	false		0.7183908045977011	2.0
classical	0.5	37	true	8.215665368350482	0.5555555555555556	2.0
classical	0.5	38	false		0.6408839779005525	2.0
classical	0.5	39	true	78.49473561644261	0.5374149659863946	2.0
classical	0.5	40	true	21.453138090011432	0.5555555555555556	2.0
arbiter	0.5	1	false		0.5705128205128205	2.0
arbiter	0.5	2	false		0.5714285714285714	2.0
arbiter	0.5	3	false		0.6470588235294118	2.0
arbiter	0.5	4	false		0.4580152671755725	2.0
arbiter	0.5	5	false		0.6	2.0
arbiter	0.5	6	false		0.5815602836879432	2.0
arbiter	0.5	7	false		0.5866666666666667	2.0
arbiter	0.5	8	false		0.5958904109589042	2.0
arbiter	0.5	9	false		0.8470588235294118	2.0
arbiter	0.5	10	false		0.43089430894308944	1.0
arbiter	0.5	11	false		0.5035460992907801	2.0
arbiter	0.5	12	false		0.6735751295336787	2.0
arbiter	0.5	13	false		0.6266666666666667	2.0
arbiter	0.5	14	false		0.6	2.0
arbiter	0.5	15	false		0.656084656084656	2.0
arbiter	0.5	16	false		0.7171717171717171	2.0
arbiter	0.5	17	false		0.8391608391608392	2.0
arbiter	0.5	18	false		0.5853658536585366	2.0
arbiter	0.5	19	false		0.6729559748427673	2.0
arbiter	0.5	20	false		0.6717171717171717	2.0
arbiter	0.5	21	false		0.5035460992907801	2.0
arbiter	0.5	22	false		0.6685393258426966	2.0
arbiter	0.5	23	false		0.6271186440677966	2.0
arbiter	0.5	24	false		0.5448275862068965	2.0
arbiter	0.5	25	false		0.453125	1.0
arbiter	0.5	26	false		0.5945945945945946	2.0
arbiter	0.5	27	false		0.7055555555555556	2.0
arbiter	0.5	28	false		0.7425742574257426	2.0
arbiter	0.5	29	false		0.6330935251798561	2.0
arbiter	0.5	30	false		0.5476190476190477	2.0
arbiter	0.5	31	false		0.7741935483870968	2.0
arbiter	0.5	32	false		0.6095890410958904	2.0
arbiter	0.5	33	false		0.5968992248062015	2.0
arbiter	0.5	34	false		0.5906040268456376	2.0
arbiter	0.5	35	false		0.528	2.0
arbiter	0.5	36	false		0.5705128205128205	2.0
arbiter	0.5	37	false		0.6358381502890174	2.0
arbiter	0.5	38	false		0.640625	2.0
arbiter	0.5	39	false		0.7045454545454546	2.0
arbiter	0.5	40	false		0.6257309941520468	2.0
classical	0.7	1	true	32.345312038386645	0.7142857142857143	2.0
classical	0.7	2	true	43.19346903241673	0.59375	2.0
classical	0.7	3	true	12.048078798933222	0.7878787878787878	2.0
